date,holiday_name,is_holiday
2015-01-01,New Year's Day,1
2015-05-25,Memorial Day,1
2015-07-04,Independence Day,1
2015-07-03,Independence Day (observed),1
2015-09-07,Labor Day,1
2015-11-26,Thanksgiving Day,1
2015-12-25,Christmas Day,1
2015-01-19,Martin Luther King Jr. Day,1
2015-02-16,Washington's Birthday,1
2015-10-12,Columbus Day,1
2015-11-11,Veterans Day,1
